Taxon,Length,T2_bands,T2_texture,T2_pits,Abd_integument,Pyg_plate,T2-4_hair,Flag1_length,Clypeus_shape,Clypeus_texture,Clypeus_midline,Fovea_color,Fovea_depth,Fovea_length,Fovea_distance,Fovea_width,Head_dimensions,Galea_shape,Labral_length,Labral_margin,Malar,Mandible_apex,Mandible_lamella,Maxpalp_length,Vertex,Midbasitarsus_width,Femur_shape,Spurs,Tibia_shape,Scopa_color,Scopa_hairs,Flocculus,Pronotal_angle,Thorax_hair,Thorax_integument,Pronotal_ridge,Corbicula,Triangle_ridge,Triangle_sculpture,Triangle_outside,Scutum_pits,Scutum_texture,SMC,R
Andrena,,absent|broad,granular,absent|dense|3+,dark,present,pale|dark|mixed,long|longer,normal|bulging,dull|shinydull,absent|present,pale|darkpale|dark,shallow,long|xlong|moderate,equal|less,moderate|broad,quadrate|broad,normal,long|moderate|short,entire|emarginate|bidentate,moderate|long|xlong,bidentate,present|tooth,2xgalea|3xgalea|1xgalea,less|equal|more,normal,normal,normal,normal|cuneate|narrow,dark|pale|mixed,simple,complete,present,pale|mixed|orange|mixed,dark,present,complete|incomplete,absent,0|5-50|50-80,dull,less|1-3|3+,dull|shiny|somewhat,3,long
Callandrena,,absent|narrow|complete|broad,granular|smooth,dense|1-3|absent,dark,present|absent,pale,long|longer,normal|flat,shiny|dull|shinydull,absent|present,pale,deep|moderate,short|moderate|long,less|equal,broad|moderate|narrow,quadrate|long,normal,short|moderate|long,entire|emarginate,short|moderate|long,bidentate,present|tooth,short,less|equal|more,expanded,normal,normal,normal,pale,plumose,complete,absent|weak,pale,dark,absent,incomplete,absent,0|5-50,dull|fine|coarse,less|absent|1-3,dull|shiny|somewhat,3,short
Cnemidandrena,,complete,granular,absent|1-3,dark,present|absent,pale,equal|long|longer,normal|bulging,shiny|shinydull,absent|present,pale,moderate|shallow|deep,long|moderate,less|equal,broad|moderate,quadrate|broad|long,normal,long|moderate,weak|emarginate,short|long|moderate,bidentate,present|present_broad,equa|1xgalea|2xgalea,equal|more,expanded,normal,normal,normal|cuneate,pale|dark|mixed,simple|weak|plumose,complete|incomplete,present|weak,pale,dark,present|weak,complete,absent,0|5-50,dull|fine|coarse,absent|1-3,dull|shiny|somewhat,2|3,long
Cremandrena,[8-10],absent,granular,absent,dark,present,dark,longer,normal,dull,absent,darkpale,moderate,moderate,more,broad|moderate,broad,normal,moderate,entire,long,bidentate,present_broad,3xgalea,less,normal|expanded,normal,normal,narrow,pale,simple,complete,absent,dark,dark,absent,incomplete,absent,0,dull,absent,dull,3,short
Dactylandrena,[9-14],absent,smooth,dense|1-3|3+,dark,present,dark,long|longer,flat|normal,shinydull|shiny,absent|present,dark,moderate,long|moderate,less|equal,moderate|narrow,quadrate|long,normal,moderate|long,weak|emarginate|entire|bidentate,long|xlong,bidentate,present|present_broad,2xgalea|3xgalea,equal|less,normal,normal,normal,normal|narrow,dark,simple,complete,present|weak|absent,mixed|dark|orange,dark,absent|weak,incomplete|absent,absent,0|5-50|50-80,dull,less|1-3,dull|shiny,3,long
Dasyandrena,,narrow|broad|complete,granular,absent|dense|3+,dark|faint,present,pale,long|longer,normal|bulging,shinydull,absent|present,pale|darkpale|dark,shallow,long|moderate,equal|more,broad,broad,normal,short|moderate|long,entire|weak,short,bidentate|tridentate,present|present_broad,2xgalea|3xgalea,equal,normal|expanded,normal,normal,normal,pale|mixed,simple,complete,weak|absent,pale,dark,absent,incomplete|complete,absent,0|5-50|50-80,dull|coarse,less|1-3,dull|somewhat,2|3,long
Diandrena,[9-13],absent,granular,absent|1-3,metallic,present|absent,pale|mixed,long|longer,flat|normal,dull|shinydull,absent,dark|darkpale,moderate,moderate|long,more,broad,quadrate|broad,normal,long,emarginate|bidentate,short,bidentate,present|present_broad,3xgalea,equal|less,normal,normal,normal,,pale|mixed,simple,complete,present,pale|mixed,metallic|faint,present|weak,incomplete,absent|present,0|0-50,dull,less,dull|shiny,2,long
Euandrena,[7-14],complete|narrow|absent|broad,granular|smooth,absent|1-3,dark|metallic|faint,absent|present,pale|mixed,long|longer,flat|normal|bulging,dull|shinydull,absent|present,dark|darkpale|pale,moderate|shallow,moderate|long,equal|more,narrow,quadrate|long,normal|spear,moderate|long,entire|weak,short|moderate|long,bidentate,present|present_broad|none,2xgalea|3xgalea,equal|less,normal,normal,normal,normal,pale|mixed|dark,simple|plumose,incomplete,absent|weak,pale|mixed|orange,metallic|faint|dark,absent|weak,incomplete,absent,0|5-50|50-80,coarse|dull,less|1-3|absent,dull|somewhat,3,long
Geissandrena,[9-12],narrow|broad,granular|smooth,1-3,dark,present,pale,longer,normal,dull|shinydull,present,pale,moderate|shallow,long,equal,narrow,long,normal,moderate|long,emarginate,short,bidentate,present,3xgalea,equal|less,normal,normal,normal,normal|narrow,pale,simple|plumose|weak,complete,present|weak,pale,dark,absent|weak,complete|incomplete,absent,50-80,coarse,less,dull|shiny,3,long
Holandrena,[8-10],absent|broad,granular|smooth,dense|1-3,dark,present,pale,longer,normal,dull,present|absent,pale,shallow,long,less|equal,broad|moderate,quadrate|broad,normal,short|moderate,entire|weak,short,bidentate,present|present_broad,2xgalea|3xgalea,more,normal,normal,normal,normal|narrow,pale,simple,incomplete,weak,dark,dark,present|weak,incomplete,absent,5-50|50-80,coarse|dull,3-Jan,dull,3,long
Larandrena,[6-10],complete|narrow|broad,granular,absent,dark,present,pale,long|longer,normal,shinydull,present|absent,pale,shallow,long|xlong,less,broad|moderate,quadrate|long,normal,long,entire,short,bidentate,none,2xgalea,less,normal,normal,normal,normal|narrow,pale,simple|weak|plumose,complete,present|weak,pale,dark,present,incomplete,absent,5-50,dull,less|1-3,dull|somewhat,3,long|short
Leucandrena,[9-13],broad|narrow,granular|smooth,absent|1-3|3+,dark,present,pale,long|longer,normal,shinydull|shiny,present,pale,shallow,xlong|long,equal|less,moderate|broad,quadrate|long,normal,long|moderate,entire|weak,short,bidentate,present,2xgalea|3xgalea,less|equal,normal,normal,normal|curved,normal|narrow,pale|mixed,simple|weak,complete|incomplete,present|weak|absent,pale,dark,present|weak,complete|incomplete,absent,0|5-50|50-80,coarse|dull,absent|1-3,dull|somewhat,3,long
Melandrena,[9-17],broad|narrow|absent,granular|smooth,absent|dense|1-3,dark|faint|metallic,present|absent,dark,equal|long|longer,normal,dull|shinydull,absent|present,pale|darkpale|dark,shallow|moderate,moderate|long|xlong,less|equal,broad|moderate|narrow,quadrate|broad|long,normal,long|moderate,entire|emarginate|weak,moderate|long|xlong,bidentate,present|present_broad,2xgalea|3xgalea,equal|more|much,normal,normal,normal,normal,dark|pale|mixed,simple,complete,absent|weak,mixed|dark|orange,dark|faint|metallic,absent,complete|incomplete,absent,0|5-50|50-80,dull|fine|coarse,less|absent|1-3,dull|somewhat,3,long
Micrandrena,[5-9],broad|narrow|complete,granular,absent,dark|faint,present|absent,pale,long|longer,normal,dull|shinydull,absent|present,pale|darkpale,moderate|shallow,moderate|long|xlong,more|less|equal,narrow|moderate|broad,quadrate|long,normal,long|moderate,entire|weak|pointed,short|moderate,bidentate,present|present_broad,2xgalea,less|equal|more,normal,normal,normal,normal|cuneate,pale|mixed,simple,complete,absent|weak,pale,dark|faint|metallic,absent,incomplete,absent,0|5-50|50-80,dull|fine|areolate,,dull|somewhat,3,short
Parandrena,[8-13],broad|narrow|complete,granular|smooth,absent|dense|3+,dark|red,present,pale,longer,normal|bulging,shiny|dull|shinydull,present,pale,shallow|moderate,xlong,less,moderate|broad,quadrate|broad,normal,long|moderate|short,entire|weak,short,bidentate,present_broad,2xgalea|3xgalea,less,normal|expanded,normal,normal,normal|narrow,pale,simple|weak|plumose,complete,present|weak,pale,dark,weak,complete,absent,0|5-50|50-80,dull|fine,absent|1-3|3+,dull|somewhat,2,long
Plastandrena,[9-15],absent|narrow|complete,granular|smooth,dense,dark,present,pale,long|longer,normal|bulging,dull|shinydull,absent|present,pale,shallow|moderate|deep,long|xlong,less|equal,broad|moderate,quadrate,normal,long,entire|weak,short|moderate,bidentate,present,2xgalea|3xgalea,less|equal|more,normal,normal|ridged,broad,normal|narrow,pale,simple|weak,complete,absent|weak,pale,dark,absent,incomplete,absent|present,50-80|100,coarse|areolate,less|1-3,dull|shiny|somewhat,3,long|short
Ptilandrena,[8-12],complete|narrow|broad,smooth,dense|1-3,dark,present,pale,longer,normal,dull,absent,pale,shallow,long|moderate,more,broad,broad,normal,long,entire|weak,short,bidentate,present,short|2xgalea,equal,normal,normal,normal,cuneate,dark,plumose,complete,present,pale,dark,present,incomplete,absent,5-50|50-80,coarse,less,dull|shiny|somewhat,3,long
Rhacandrena,[7-11],narrow|broad,granular|smooth,absent|1-3|3+,dark,present,pale,long|longer,normal,dull|shinydull,absent|present,pale,shallow|moderate,xlong|long,equal|more,broad|moderate|narrow,quadrate|long,normal,long,entire|weak,short,bidentate,present|present_broad,2xgalea,less|equal,normal,normal,normal,normal|narrow,pale,simple,complete,absent|weak,pale,dark,present,incomplete,a,100|50-80,coarse|dull,absent|1-3|3+,dull|somewhat,3,long
Scaphandrena,[7-13],absent|narrow|complete|broad,granular|smooth,dense|1-3|3+|absent,metallic|faint|dark,present|absent,pale|dark,long|longer,normal|bulging|flat,dull|shinydull,absent|present,pale|darkpale|dark,shallow|moderate,xlong|moderate,equal|more,broad|moderate|narrow,long|quadrate|broad,normal,long|moderate,entire|emarginate|weak,short|moderate,bidentate,present|present_broad|none,2xgalea,less|equal|more,normal,normal,normal,normal|cuneate,pale|mixed|dark,simple,complete,present|weak,mixed|dark|orange|pale,metallic|faint|dark,absent,incomplete,absent,0|5-50|50-80,dull|fine,less|1-3|3+,dull|shiny|somewhat,3,long
Simandrena,,broad|narrow|complete,granular,absent,dark,present|absent,pale,long|longer,normal,dull,absent|present,pale|darkpale|dark,shallow,long|xlong,less|equal,broad|moderate,quadrate,normal,long|moderate,entire|weak,short,bidentate,present,2xgalea|1xgalea,equal|more,normal,normal,normal,cuneate,pale|mixed,simple|weak|plumose,complete,absent|weak,pale|orange,dark,absent,complete,absent,0|5-50|50-80,dull|fine|areolate,absent|1-3,dull,3,short
Thysandrena,[7-12],narrow|broad|absent,granular,absent|1-3|3+,metallic|faint|dark,present|absent,pale|mixed,long|longer,normal|bulging,dull|shinydull,absent|present,pale|darkpale|dark,shallow|moderate,xlong|long|moderate,less|equal,broad,quadrate,normal,long|moderate,entire|emarginate|bidentate|weak,short|moderate,bidentate,present,2xgalea|3xgalea,equal,normal,normal,normal,normal,pale|mixed,simple,complete|incomplete,absent|weak,pale|mixed|orange,dark|faint,absent,incomplete,absent,0|5-50,dull|coarse,less|1-3,dull|shiny|somewhat,3,long
Trachandrena,[8-13],broad|narrow,granular|smooth,dense|1-3|3+,dark|faint|red,present|absent,pale|dark|mixed,long|longer,normal|flat,dull|shinydull|shiny,absent|present,pale|darkpale|dark,deep,long|xlong|moderate,more|less|equal,moderate|narrow,quadrate|broad|long,normal,long|moderate,entire|weak,short,bidentate,present|present_broad,2xgalea|3xgalea,equal|more|less|much,normal,normal,normal,normal|cuneate,pale|mixed,simple,complete,absent|weak,pale|mixed|orange,dark,absent,incomplete,absent|present,50-80|100,coarse|areolate,less|1-3,dull|shiny|somewhat,3,long|short
Tylandrena,[9-16],absent|broad,granular|smooth,absent|dense|1-3,dark|faint|red,absent,pale|dark|mixed,long|longer,normal|flat,dull|shinydull|shiny,absent|present,pale|darkpale|dark,shallow,xlong|long,less|equal,broad|moderate,quadrate|broad,normal,moderate|long,entire|weak,short|moderate,bidentate,present|present_broad,2xgalea|3xgalea,equal|more,normal,normal,normal,normal,pale|dark,simple,complete,present,mixed|dark|orange,dark,present,complete|incomplete,absent,0|5-50|50-80,dull|coarse,less|1-3,dull|somewhat,3,long